"Name","nearby_parks"
"Grundschule Blumenau",0
"Grundschule Dachauer Straße",0
"Grundschule Dietzfelbingerplatz 5",0
"Grundschule Feldmochinger Straße 251",0
"Grundschule Gänselieselstraße 33",0
"Grundschule Guldeinschule",0
"Grundschule Gustl-Bayrhammer-Straße",0
"Grundschule im Werksviertel",0
"Grundschule Kafkastraße 9",0
"Grundschule Königswieser Straße",0
"Grundschule Konrad-Celtis-Straße",0
"Grundschule Maria-Ward-Straße",0
"Grundschule Max-Kolmsperger-Straße 6",0
"Grundschule mit Tagesheim an der Jenaer Straße",0
"Grundschule mit Tagesheim an der Margarethe-Danzi-Straße 17",0
"Grundschule mit Tagesheim an der Thelottstraße 20",0
"Grundschule mit Tagesheim Theodor-Heuss-Platz 6",0
"Grundschule Rennertstraße 10",0
"Grundschule Schwanthalerstraße",0
"Grundschule Stielerstraße 6",0
"Grundschule Tumblingerstrasse",0
"Grundschule und Städtischer Hort an der Türkenstraße 68",0
"Grundschule und Tagesstätte Ichostraße 2",0
"Grundschule Von-der-Pfordten-Straße (ehemals Camerloher Straße)",0
"Gut Warnberg Schulgelände",0
"Gymnasium Feldmoching",0
"Gymnasium Max-Josef-Stift",0
"Gymnasium München-Nord",0
"Gymnasium München Riem",0
"Gymnasium München/Moosach",0
"Gymnasium Neufreimann",0
"Gymnasium Trudering",0
"Hablas Español",0
"Heimerer Schulen",0
"Helene Habermann Gymnasium",0
"Hochschule Fresenius",0
"Hotelberufsfachschule Kermess",0
"IFP Institut zur Förderung publizistischen Nachwuchses",0
"Immanuel-Schule",0
"Inklusive Monte Balan",0
"inlingua Berufsfachschule für Fremdsprachenberufe",0
"Innung der Friseure München",0
"Institut für Berufliche Bildung AG",0
"Internationale Montessori-Schule München",0
"Internationale Montessorischule München",0
"Isabella Atelier",0
"Isar Grundschule / Privates Gymnasium Huber",0
"Jan-Amos-Comenius-Schule",0
"Japanische Internationale Schule München",0
"Karlsgymnasium",0
"Käthe-Kollwitz-Gymnasium",0
"Katholische Fachakademie für Sozialpädagogik München",0
"Keilberthschule",0
"Kirchl. Fachakademie für Hauswirtschaft",0
"Kirchl. Fachakademie für Sozialpädagogik",0
"Klenze-Gymnasium München",0
"Kompetenzzentrum für Erziehungsberufe München Mitte",0
"Konfuzius-Institut München e.V.",0
"Lehrinstitut Bauer",0
"Ludwig Fresenius Schulen",0
"Ludwigsgymnasium",0
"Luitpold-Gymnasium",0
"Lukas-Realschule",0
"Lukas-Schule (Grundschule)",0
"Lycée Français Jean Renoir",0
"Lycée Jean Renoir",0
"Manzoschule",0
"Maria-Theresia-Gymnasium",0
"Maria-Ward Mädchenrealschule",0
"Marieluise-Fleißer-Realschule",0
"Mathilde-Eller-Schule / Heilpädagogische Tagesstätte Klenzestraße",0
"Max-Planck-Gymnasium",0
"Maximiliansgymnasium",0
"Mentor Fortbildungen",0
"Michaeli-Gymnasium München",0
"Mittel- und Förderschule am Gerhart-Hauptmann-Ring",0
"Mittelschule am Gotzinger Platz 1",0
"Mittelschule am Inzeller Weg 4",0
"Mittelschule an der Albert-Schweitzer-Straße",0
"Mittelschule an der Cincinnatistraße 63",0
"Mittelschule an der Elisabeth-Kohn-Straße 4",0
"Mittelschule an der Franz-Nißl-Straße",0
"Mittelschule an der Reichenaustraße",0
"Mittelschule an der Sambergerstraße",0
"Mittelschule an der Situlistraße",0
"Mittelschule an der Wiesentfelser Straße",0
"Mittelschule Blumenau",0
"Mittelschule Feldbergstraße",0
"Mittelschule Ichostraße 2",0
"Mittelschule München an der Perlacher Straße 114",0
"Mittelschule München Moosach",0
"Mittelschule Wörthstraße",0
"Mittelschule Zielstattstraße",0
"Montessori-Schule im Olympiapark",0
"Montessori Fachoberschule München",0
"München Klinik Akademie",0
"Münchenkolleg, Gymnasium des Zweiten Bildungsweges",0
"Münchner Schmink und Kosmetikschule",0
"Münchner Volkshochschule",0
"Münchnervolkshochschule MVHS",0
"MVHS (Volkshochschule München)",0
"Nähclub München",0
"neuhof Schulen",0
"Nymphenburger Schulen",0
"Obermenzinger Gymnasium",0
"Oskar-von-Miller-Gymnasium",0
"Osteopathie Schule Deutschland",0
"Otto-Falckenberg-Schule",0
"Otto-Steiner-Schule, privates Förderzentrum geistige Entwicklung",0
"Parzivâl-Schule",0
"Pavillion",0
"Pflegeschule der Schwesternschaft vom BRK",0
"Prisma e.V.",0
"Private Griechische Schulen „Sokrates“ ""ΣΩΚΡΑΤΗΣ""",0
"Private Realschule Gut Warnberg",0
"Private Wirtschaftsschule begemann e. V.",0
"Privatgymnasium Dr. Florian Überreiter",0
"Prof.-Otto-Speck-Schule",0
"Pythagoras-Schule",0
"Rabennest",0
"Rothpletzschule",0
"Rudolf-Steiner-Schule",0
"Rupprecht-Gymnasium",0
"Sabel",0
"Sabel GBS Fachschulen",0
"Samuel-Heinicke-Fachoberschule",0
"Samuel-Heinicke-Realschule und Internat",0
"Sankt-Anna-Grundschule",0
"Sankt-Anna-Gymnasium",0
"Schkola Nr.1",0
"Schule an der Fürstenrieder Straße",0
"Schule an der Hirschbergstraße",0
"Schulen an der Fernpaßstraße",0
"Schulungszentrum McDonald's",0
"Schulverbund München",0
"Schulzentrum an der Gerastraße",0
"Schulzentrum an der Quiddestraße",0
"SDI-Campus",0
"SFZ München Nord-West",0
"Silvia-Görres-Schule",0
"Simmernschule",0
"Sonderpädagogisches Förderzentrum München-Mitte 2 Filiale Kirchenstr. 13",0
"Sonderpädagogisches Förderzentrum München-Süd",0
"Sonderpädagogisches Förderzentrum München Mitte 1",0
"Sonderpädagogisches Förderzentrum München Nord",0
"Sonderpädagogisches Förderzentrum München Nord-Ost (Haus 2)",0
"Sozialpädagogische Schulen",0
"Staatliche Berufliche Oberschule für Wirtschaft",0
"Staatliche Berufsfachschule für Logopädie am Klinikum der Universität München",0
"Staatliche Dieter-Hildebrandt-Wirtschaftsschule München",0
"Staatliche Fachober- und Berufsoberschule Technik München",0
"Staatliche Fachoberschule und Berufsoberschule für Wirtschaft München Filiale Lipowskystraße 15",0
"Staatliche Grundschule Markgrafenstraße",0
"Staatliche Realschule München VI",0
"Staatliches Luitpold-Gymnasium",0
"Staatliches Pestalozzi-Gymnasium",0
"Staatliches Wilhelmsgymnasium",0
"Städt. Berufsschule für Augenoptik",0
"Städt. Bildungszentrum für Augenoptik und Optometrie",0
"Städt. Fachakademie für Heilpädagogik",0
"Städt. Fachakademie für Sozialpädagogik München Mitte",0
"Städt. Fachschule für Augenoptik",0
"Städt. Fachschule für Grundschulkindbetreuung",0
"Städtische Adalbert-Stifter-Realschule",0
"Städtische Anita-Augspurg-Berufsoberschule für Sozialwesen",0
"Städtische Anne-Frank-Realschule",0
"Städtische Artur-Kutscher-Realschule",0
"Städtische Balthasar-Neumann Realschule",0
"Städtische Berufliche Schulen Orleansstraße 46",0
"Städtische Berufsschule für das Hotel, Gaststätten- und Braugewerbe",0
"Städtische Berufsschule für Fertigungstechnik",0
"Städtische Berufsschule für Kfz-Technik",0
"Städtische Berufsschule für Körperpflege",0
"Städtische Berufsschule für Lagerlogistik, Groß- und Außenhandel",0
"Städtische Berufsschule für Metall-Design-Mechatronik",0
"Städtische Berufsschule für Spedition und Touristik",0
"Städtische Berufsschule zur Berufsvorbereitung",0
"Städtische Berufsschulen Balanstraße 208",0
"Städtische Carl-Spitzweg-Realschule",0
"Städtische Elly-Heuss-Realschule",0
"Städtische Erich-Kästner-Realschule",0
"Städtische Fachoberschule für Gestaltung",0
"Städtische Fachschule für Bautechnik München",0
"Städtische Fachschule für Fahrzeugtechnik und Elektromobilität München",0
"Städtische Franz-Auweck-Abendschule",0
"Städtische Fridtjof-Nansen-Realschule",0
"Abendgymnasium",0
"Städtische Helen-Keller-Realschule",0
"Städtische Hermann-Frieb-Realschule",0
"Städtische Maria-Probst-Realschule",0
"Städtische Nelson-Mandela-Berufsoberschule Wirtschaft",0
"Städtische Rainer-Werner-Fassbinder-Fachoberschule für Sozialwesen",0
"Städtische Ricarda-Huch-Realschule, Grundschule, Kindertagestätte",0
"Städtische Ricarda-Huch-Realschule, Zweigstelle",0
"Städtische Riemerschmid Wirtschaftsschule München",0
"Städtische Robert-Bosch-Fachoberschule Wirtschaft",0
"Städtische Rudolf-Diesel-Realschule",0
"Städtische Salvator-Realschule",0
"Städtische Schulartunabhängige Orientierungsstufe",0
"Städtische Werner-von-Siemens-Realschule",0
"Städtische Wilhelm-Busch-Realschule",0
"Städtischen Rudolf-Diesel-Realschule München",0
"Städtischer Berufsschulcampus Moosach",0
"Städtisches Adolf-Weber-Gymnasium",0
"Städtisches Bertolt-Brecht-Gymnasium",0
"Städtisches Berufsschulzentrum an der Orleansstraße",0
"Städtisches Berufsschulzentrum für das Bau- und Kunsthandwerk München",0
"Städtisches Elsa-Brändström-Gymnasium",0
"Städtisches Heinrich-Heine-Gymnasium",0
"Städtisches Lion-Feuchtwanger-Gymnasium",0
"Städtisches Louise-Schroeder-Gymnasium",0
"Städtisches Luisengymnasium",0
"Städtisches Sophie-Scholl-Gymnasium",0
"Städtisches Werner-von-Siemens-Gymnasium",0
"Städtisches Willi-Graf-Gymnasium",0
"Stiftung ICP München",0
"Stiftung Journalistenakademie Dr. Hooffacker GmbH & Co. KG",0
"Studienkolleg München",0
"Studienseminar Albertinum",0
"Theresia-Gerhardinger- Mädchenrealschule",0
"Theresia-Gerhardinger-Grundschule am Anger",0
"Theresia-Gerhardinger-Gymnasium am Anger",0
"Theresien-Gymnasium",0
"Waldklassenzimmer",0
"Walner-Akademie für Rettungsmedizin",0
"Wichern Zentrum",0
"Wilhelm-Grundschule",0
"Wilhelm-Hausenstein-Gymnasium",0
"Wilhelm-Röntgen-Realschule München",0
"Willy-Brandt-Gesamtschule",0
"Wittelsbacher-Gymnasium",0
"Wittelsbacher Mittelschule",0
"Zweigstelle Böglstraße der Grundschule am Pfanzeltplatz",0
"Städtische Grundschule an der Pfeuferstraße 1",0
"Abraxas Musical Akademie",0
"Agilolfingerschule",0
"Akademie des Städtischen Klinikums München",0
"Albert-Einstein-Gymnasium",0
"Arrow ECS Trainingszentrum",0
"Asam-Gymnasium",0
"Bavarian International School gAG - City Campus",0
"Bayerische Landesschule für Körperbehinderte",0
"Bazeilles-Grundschule",0
"Berufliches Schulzentrum",0
"Berufliches Schulzentrum Alois Senefelder",0
"Berufliches Schulzentrum an der Deroystraße",0
"Berufsbildungszentrum für Farbe und Raumgestaltung",0
"Berufsfachschule für Pflegekräfte",0
"Berufsschule zur Berufsintegration",0
"Berufsschule zur Berufsvorbereitung",0
"BildungsLokal Neuaubing-Westkreuz",0
"Bilinguale Grundschule Phorms",0
"Bilinguales Gymnasium Phorms",0
"Blindeninstitut München",0
"campus42",0
"Caritas Don Bosco Schulen für Kinderpflege",0
"Carl Duisberg Centrum München",0
"Carl Remigius Medical School",0
"Chemieschule Dr. Erwin Elhardt",0
"Coffe & Art - Die Ermutigungswerkstatt",0
"Dante-Gymnasium München",0
"deutschakademie",0
"Deutschinstitut Integra",0
"Dom-Pedro-Grundschule",0
"EAM School of International Business",0
"Edith-Stein-Gymnasium",0
"Erasmus-Grasser-Gymnasium",0
"Ernst-Barlach Schulen",0
"Ernst-Reuter Grundschule",0
"Erzbischöfliche Maria-Ward-Realschule Nymphenburg",0
"Erzbischöfliches Maria-Ward-Gymnasium Nymphenburg",0
"ESM Grundschule",0
"Europäische Schule München",0
"Evangelische PflegeAkademie – Berufsfachschule für Altenpflege",0
"Evangelisches Bildungszentrum",0
"Feldbergschule",0
"Förderschule an der Gilmstraße",0
"Förderschule an der Herrnstraße",0
"Förderschule und Heilpädagogische Tagesstätte",0
"Förderzentrum Förderschwerpunkt Hören",0
"Forellenschule",0
"FOS Nord",0
"Freie Waldorfschule München Südwest",0
