"Name"
"Adolf-Kolping-Berufsschule"
"Aton-Schule"
"Bildungscampus Freiham"
"Christophorus-Schule"
"Echo Music School"
"Fachschule für Farb- und Lacktechnik"
"Förderzentrum München-Ost"
"Grund- und Mittelschule an der Walliser Straße"
"Grundschule Aidenbachstraße"
"Grundschule an der Astrid-Lindgren-Straße"
"Grundschule an der Dieselstraße"
"Grundschule an der Emmy-Noether-Straße"
"Grundschule an der Walliser Straße"
"Grundschule Burmesterstraße 23"
"Grundschule Lehrer-Götz-Weg München"
"Grundschule und Tagesheim"
"Gymnasium Freiham"
"Gymnasium Fürstenried"
"Joseph-von-Fraunhofer-Schule - Staatliche Realschule München II"
"Jules-Vernes-Campus"
